rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
168,Kamil Majchrzak,Poland,POL,1702,128,2019-09-09,1,0,1779
169,Jason Jung,"Taiwan, Province of China",TPE,1700,134,2020-02-17,2,0,1778
170,Rudolf Molleker,Germany,GER,1700,170,2019-07-29,0,-1,1706
171,Hugo Dellien,"Bolivia, Plurinational State of",BOL,1696,127,2019-09-23,1,0,1781
172,Bradley Klahn,United States,USA,1695,136,2018-10-29,1,0,1778
173,James Duckworth,Australia,AUS,1691,112,2015-08-10,1,0,1792
174,Aslan Karatsev,Russian Federation,RUS,1690,174,2020-11-22,1,0,1690
175,Facundo Bagnis,Argentina,ARG,1684,144,2016-07-18,1,0,1752
176,Illya Marchenko,Ukraine,UKR,1683,72,2016-01-18,1,0,1865
177,Pedro Sousa,Portugal,POR,1673,148,2018-10-29,1,0,1759
178,Kimmer Coppejans,Belgium,BEL,1664,176,2020-09-14,1,0,1684
179,Prajnesh Gunneswaran,India,IND,1662,167,2019-03-18,1,0,1721
180,Dimitar Kuzmanov,Bulgaria,BUL,1659,175,2020-09-14,1,0,1679
181,Sumit Nagal,India,IND,1658,181,2020-11-22,1,0,1658
182,Cem Ilkel,Turkey,TUR,1646,180,2020-09-14,1,0,1647
183,Jozef Kovalik,Slovakia,SVK,1639,119,2018-07-30,1,0,1805
184,Mohamed Safwat,Egypt,EGY,1634,176,2020-01-10,1,0,1694
185,Elias Ymer,Sweden,SWE,1630,146,2015-04-27,1,0,1740
186,Lucas Gomez,Mexico,MEX,1624,183,2020-08-29,1,0,1626
187,Emilio Gomez,Ecuador,ECU,1611,149,2017-02-10,1,0,1744
188,Christopher Eubanks,United States,USA,1605,183,2020-01-10,1,0,1661
189,Brayden Schnur,Canada,CAN,1605,161,2019-02-18,1,0,1733
190,Zhe Li,China,CHN,1599,179,2017-02-24,1,0,1693
191,James Ward,United Kingdom,GBR,1553,94,2011-06-13,1,0,1822
192,Federico Gaio,Italy,ITA,1546,188,2020-09-14,1,0,1574
