rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints,bestPointsDate
1,Novak Djokovic,Serbia,SRB,2382,1,2011-03-21,0,0,2382,2021-01-05
2,Rafael Nadal,Spain,ESP,2375,1,2008-06-16,0,-24,2552,1970-01-01
3,Roger Federer,Switzerland,SUI,2325,1,2003-08-11,0,0,2550,1970-01-01
4,Dominic Thiem,Austria,AUT,2249,4,2020-02-03,0,14,2249,1970-01-01
5,Daniil Medvedev,Russian Federation,RUS,2244,4,2019-10-14,2,68,2244,1970-01-01
6,Andrey Rublev,Russian Federation,RUS,2182,5,2020-11-02,0,-5,2197,1970-01-01
7,Alexander Zverev,Germany,GER,2180,5,2017-08-14,-2,-7,2231,1970-01-01
8,Stefanos Tsitsipas,Greece,GRE,2153,6,2020-10-11,0,0,2175,1970-01-01
9,Andy Murray,United Kingdom,GBR,2141,2,2009-04-19,0,0,2500,1970-01-01
10,Milos Raonic,Canada,CAN,2104,5,2016-07-11,0,0,2269,1970-01-01
11,Stan Wawrinka,Switzerland,SUI,2099,5,2014-02-17,0,0,2291,1970-01-01
12,Nick Kyrgios,Australia,AUS,2087,10,2017-04-18,1,0,2176,1970-01-01
13,Kevin Anderson,South Africa,RSA,2081,6,2019-04-15,1,0,2181,1970-01-01
14,Roberto Bautista Agut,Spain,ESP,2078,9,2019-07-15,1,0,2135,1970-01-01
15,Diego Sebastian Schwartzman,Argentina,ARG,2077,11,2020-11-02,-3,-19,2096,1970-01-01
16,Pablo Carreno Busta,Spain,ESP,2074,16,2020-10-11,0,0,2074,1970-01-01
17,Kei Nishikori,Japan,JPN,2060,4,2016-09-12,0,0,2296,1970-01-01
18,Gael Monfils,France,FRA,2044,7,2010-11-28,0,0,2189,1970-01-01
19,Grigor Dimitrov,Bulgaria,BUL,2043,6,2018-01-29,0,0,2203,1970-01-01
20,Alex De Minaur,Australia,AUS,2030,19,2020-01-13,0,0,2062,1970-01-01
21,Jo Wilfried Tsonga,France,FRA,2028,6,2009-03-02,0,-1,2244,1970-01-01
22,Matteo Berrettini,Italy,ITA,2026,13,2019-10-28,0,0,2102,1970-01-01
23,Denis Shapovalov,Canada,CAN,2015,16,2019-11-26,0,0,2075,1970-01-01
24,David Goffin,Belgium,BEL,2012,8,2018-05-21,0,0,2165,1970-01-01
25,Tomas Berdych,Czech Republic,CZE,2007,6,2013-10-21,0,-1,2263,1970-01-01
26,Ugo Humbert,France,FRA,2002,26,2020-11-15,0,0,2002,1970-01-01
27,Karen Khachanov,Russian Federation,RUS,1992,10,2019-02-08,0,0,2137,1970-01-01
28,Marin Cilic,Croatia,CRO,1992,6,2014-09-08,0,0,2232,1970-01-01
29,Borna Coric,Croatia,CRO,1991,13,2019-01-07,0,0,2102,1970-01-01
30,Jannik Sinner,Italy,ITA,1989,30,2020-11-15,0,0,1989,1970-01-01
31,Vasek Pospisil,Canada,CAN,1987,31,2020-11-15,0,0,1987,1970-01-01
32,Filip Krajinovic,Serbia,SRB,1983,25,2020-08-29,0,0,2032,1970-01-01
33,John Isner,United States,USA,1971,9,2012-08-26,0,-1,2148,1970-01-01
34,Lucas Pouille,France,FRA,1969,20,2016-09-26,0,0,2069,1970-01-01
35,Christian Garin,Chile,CHI,1968,35,2020-11-15,0,0,1972,1970-01-01
36,Daniel Evans,United Kingdom,GBR,1963,33,2020-08-29,0,0,1987,1970-01-01
37,Casper Ruud,Norway,NOR,1961,30,2020-10-11,0,0,1994,1970-01-01
38,Hyeon Chung,"Korea, Republic of",KOR,1960,21,2018-03-30,0,0,2049,1970-01-01
39,Felix Auger Aliassime,Canada,CAN,1958,30,2019-08-12,0,0,1995,1970-01-01
40,Richard Gasquet,France,FRA,1954,9,2007-10-08,0,0,2196,1970-01-01
41,Jan Lennard Struff,Germany,GER,1951,25,2019-06-24,0,0,2036,1970-01-01
42,Fabio Fognini,Italy,ITA,1949,14,2014-04-15,0,0,2112,1970-01-01
43,Kyle Edmund,United Kingdom,GBR,1946,24,2018-08-06,0,0,2038,1970-01-01
44,Sam Querrey,United States,USA,1944,18,2013-04-21,0,0,2068,1970-01-01
45,Reilly Opelka,United States,USA,1941,37,2020-08-29,0,0,1972,1970-01-01
46,Yoshihito Nishioka,Japan,JPN,1936,33,2020-02-24,0,0,1977,1970-01-01
47,Marton Fucsovics,Hungary,HUN,1935,33,2019-03-04,0,0,1979,1970-01-01
48,John Millman,Australia,AUS,1932,38,2018-09-10,0,0,1953,1970-01-01
49,Adrian Mannarino,France,FRA,1928,29,2018-01-15,0,0,2004,1970-01-01
50,Jeremy Chardy,France,FRA,1923,23,2015-09-14,0,-1,2016,1970-01-01
51,Miomir Kecmanovic,Serbia,SRB,1923,44,2020-09-15,0,0,1958,1970-01-01
52,Fernando Verdasco,Spain,ESP,1922,7,2009-05-04,0,0,2204,1970-01-01
53,Frances Tiafoe,United States,USA,1917,36,2019-05-13,0,0,1962,1970-01-01
54,Hubert Hurkacz,Poland,POL,1916,33,2020-01-19,0,0,1983,1970-01-01
55,Pierre Hugues Herbert,France,FRA,1913,32,2019-06-24,0,0,1989,1970-01-01
56,Egor Gerasimov,Belarus,BLR,1913,52,2020-02-24,0,0,1930,1970-01-01
57,Lorenzo Sonego,Italy,ITA,1911,57,2020-11-15,0,0,1911,1970-01-01
58,Aljaz Bedene,Slovenia,SLO,1908,42,2018-05-21,0,0,1939,1970-01-01
59,Taylor Harry Fritz,United States,USA,1906,29,2019-08-05,0,0,1999,1970-01-01
60,Guido Pella,Argentina,ARG,1901,29,2019-08-12,0,0,2009,1970-01-01
61,Feliciano Lopez,Spain,ESP,1898,16,2014-10-12,0,0,2074,1970-01-01
62,Gilles Simon,France,FRA,1895,9,2009-02-02,0,0,2124,1970-01-01
63,Philipp Kohlschreiber,Germany,GER,1887,14,2016-05-02,0,0,2117,1970-01-01
64,Jordan Thompson,Australia,AUS,1883,58,2019-07-01,0,0,1908,1970-01-01
65,Laslo Djere,Serbia,SRB,1881,55,2019-06-10,0,0,1913,1970-01-01
66,Alejandro Davidovich Fokina,Spain,ESP,1881,66,2020-11-15,0,0,1881,1970-01-01
67,Lloyd George Muirhead Harris,South Africa,RSA,1876,65,2020-10-26,0,0,1886,1970-01-01
68,Nicolas Mahut,France,FRA,1874,35,2016-10-10,0,-1,1970,1970-01-01
69,Radu Albot,"Moldova, Republic of",MDA,1874,45,2019-04-01,0,0,1936,1970-01-01
70,Steve Johnson,United States,USA,1871,21,2017-04-17,0,0,2042,1970-01-01
71,Benoit Paire,France,FRA,1869,25,2016-01-11,0,0,2003,1970-01-01
72,Mikhail Kukushkin,Kazakhstan,KAZ,1867,41,2019-02-25,0,0,1944,1970-01-01
73,Tommy Paul,United States,USA,1867,73,2020-11-09,0,0,1868,1970-01-01
74,Jiri Vesely,Czech Republic,CZE,1865,38,2017-08-07,0,0,1953,1970-01-01
75,Dusan Lajovic,Serbia,SRB,1865,35,2019-04-22,0,0,1962,1970-01-01
